fileID,name
47,src\main\org\apache\tools\ant\AntClassLoader.java
53,src\main\org\apache\tools\ant\ComponentHelper.java
102,src\main\org\apache\tools\ant\filters\ExpandProperties.java
127,src\main\org\apache\tools\ant\input\DefaultInputHandler.java
70,src\main\org\apache\tools\ant\IntrospectionHelper.java
136,src\main\org\apache\tools\ant\launch\Launcher.java
137,src\main\org\apache\tools\ant\launch\Locator.java
142,src\main\org\apache\tools\ant\listener\MailLogger.java
143,src\main\org\apache\tools\ant\listener\ProfileLogger.java
73,src\main\org\apache\tools\ant\Main.java
83,src\main\org\apache\tools\ant\Target.java
156,src\main\org\apache\tools\ant\taskdefs\AbstractCvsTask.java
163,src\main\org\apache\tools\ant\taskdefs\AugmentReference.java
294,src\main\org\apache\tools\ant\taskdefs\compilers\DefaultCompilerAdapter.java
300,src\main\org\apache\tools\ant\taskdefs\compilers\Jvc.java
179,src\main\org\apache\tools\ant\taskdefs\Copy.java
335,src\main\org\apache\tools\ant\taskdefs\cvslib\ChangeLogTask.java
187,src\main\org\apache\tools\ant\taskdefs\Delete.java
349,src\main\org\apache\tools\ant\taskdefs\email\MimeMailer.java
199,src\main\org\apache\tools\ant\taskdefs\ExecuteOn.java
203,src\main\org\apache\tools\ant\taskdefs\Expand.java
211,src\main\org\apache\tools\ant\taskdefs\ImportTask.java
215,src\main\org\apache\tools\ant\taskdefs\Java.java
216,src\main\org\apache\tools\ant\taskdefs\Javac.java
217,src\main\org\apache\tools\ant\taskdefs\Javadoc.java
228,src\main\org\apache\tools\ant\taskdefs\MacroDef.java
236,src\main\org\apache\tools\ant\taskdefs\Mkdir.java
353,src\main\org\apache\tools\ant\taskdefs\optional\Cab.java
390,src\main\org\apache\tools\ant\taskdefs\optional\depend\ClassFile.java
398,src\main\org\apache\tools\ant\taskdefs\optional\depend\constantpool\ConstantPool.java
354,src\main\org\apache\tools\ant\taskdefs\optional\EchoProperties.java
444,src\main\org\apache\tools\ant\taskdefs\optional\i18n\Translate.java
445,src\main\org\apache\tools\ant\taskdefs\optional\image\Image.java
454,src\main\org\apache\tools\ant\taskdefs\optional\javacc\JavaCC.java
452,src\main\org\apache\tools\ant\taskdefs\optional\javacc\JJDoc.java
453,src\main\org\apache\tools\ant\taskdefs\optional\javacc\JJTree.java
468,src\main\org\apache\tools\ant\taskdefs\optional\jsp\WLJspc.java
473,src\main\org\apache\tools\ant\taskdefs\optional\junit\AggregateTransformer.java
480,src\main\org\apache\tools\ant\taskdefs\optional\junit\FailureRecorder.java
488,src\main\org\apache\tools\ant\taskdefs\optional\junit\JUnitTestRunner.java
502,src\main\org\apache\tools\ant\taskdefs\optional\net\FTP.java
507,src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTaskMirrorImpl.java
357,src\main\org\apache\tools\ant\taskdefs\optional\NetRexxC.java
513,src\main\org\apache\tools\ant\taskdefs\optional\perforce\P4Add.java
519,src\main\org\apache\tools\ant\taskdefs\optional\perforce\P4Fstat.java
531,src\main\org\apache\tools\ant\taskdefs\optional\perforce\P4Submit.java
547,src\main\org\apache\tools\ant\taskdefs\optional\splash\SplashTask.java
557,src\main\org\apache\tools\ant\taskdefs\optional\ssh\ScpFromMessageBySftp.java
552,src\main\org\apache\tools\ant\taskdefs\optional\ssh\SSHExec.java
364,src\main\org\apache\tools\ant\taskdefs\optional\TraXLiaison.java
566,src\main\org\apache\tools\ant\taskdefs\optional\unix\Symlink.java
365,src\main\org\apache\tools\ant\taskdefs\optional\XMLValidateTask.java
251,src\main\org\apache\tools\ant\taskdefs\Redirector.java
253,src\main\org\apache\tools\ant\taskdefs\Replace.java
255,src\main\org\apache\tools\ant\taskdefs\Retry.java
260,src\main\org\apache\tools\ant\taskdefs\SignJar.java
263,src\main\org\apache\tools\ant\taskdefs\SubAnt.java
264,src\main\org\apache\tools\ant\taskdefs\Sync.java
269,src\main\org\apache\tools\ant\taskdefs\Touch.java
288,src\main\org\apache\tools\ant\taskdefs\Zip.java
591,src\main\org\apache\tools\ant\types\Commandline.java
596,src\main\org\apache\tools\ant\types\Description.java
603,src\main\org\apache\tools\ant\types\FilterSet.java
638,src\main\org\apache\tools\ant\types\optional\image\Arc.java
641,src\main\org\apache\tools\ant\types\optional\image\Draw.java
643,src\main\org\apache\tools\ant\types\optional\image\Ellipse.java
645,src\main\org\apache\tools\ant\types\optional\image\Rectangle.java
646,src\main\org\apache\tools\ant\types\optional\image\Rotate.java
647,src\main\org\apache\tools\ant\types\optional\image\Scale.java
692,src\main\org\apache\tools\ant\types\resources\URLResource.java
89,src\main\org\apache\tools\ant\UnknownElement.java
775,src\main\org\apache\tools\ant\util\FileUtils.java
778,src\main\org\apache\tools\ant\util\GlobPatternMapper.java
780,src\main\org\apache\tools\ant\util\IdentityStack.java
785,src\main\org\apache\tools\ant\util\LayoutPreservingProperties.java
789,src\main\org\apache\tools\ant\util\LineOrientedOutputStream.java
1191,src\main\org\apache\tools\ant\util\LineOrientedOutputStreamRedirector.java
795,src\main\org\apache\tools\ant\util\PackageNameMapper.java
855,src\main\org\apache\tools\mail\MailMessage.java
935,src\tests\junit\org\apache\tools\ant\launch\LocatorTest.java
964,src\tests\junit\org\apache\tools\ant\taskdefs\ExecTaskTest.java
1068,src\tests\junit\org\apache\tools\ant\taskdefs\optional\junit\JUnitReportTest.java
1192,src\tests\junit\org\apache\tools\ant\taskdefs\optional\junit\XMLResultAggregatorTest.java
1057,src\tests\junit\org\apache\tools\ant\taskdefs\optional\TraXLiaisonTest.java
1149,src\tests\junit\org\apache\tools\ant\util\LineOrientedOutputStreamTest.java
